"timeMillisSpent","score"
51375,"-1hard/-60soft"
51477,"-1hard/-60soft"
51636,"-1hard/-60soft"
51739,"-1hard/-99soft"
51909,"-1hard/-99soft"
52011,"-1hard/-99soft"
52166,"-1hard/-99soft"
52357,"-1hard/-89soft"
52468,"-1hard/-62soft"
52632,"-1hard/-62soft"
52811,"-1hard/-64soft"
52919,"-1hard/-62soft"
53018,"-1hard/-62soft"
53176,"-1hard/-62soft"
53282,"0hard/-90soft"
53434,"0hard/-90soft"
53539,"0hard/-90soft"
53703,"0hard/-90soft"
53866,"0hard/-91soft"
53974,"0hard/-90soft"
54136,"0hard/-90soft"
54299,"-1hard/-87soft"
54402,"0hard/-90soft"
54499,"0hard/-90soft"
54661,"0hard/-90soft"
54773,"0hard/-91soft"
54939,"0hard/-91soft"
55041,"0hard/-91soft"
55193,"0hard/-91soft"
55364,"0hard/-91soft"
55471,"0hard/-91soft"
55646,"0hard/-91soft"
55818,"-1hard/-63soft"
55919,"-1hard/-102soft"
56016,"-1hard/-102soft"
56208,"-1hard/-102soft"
56335,"0hard/-91soft"
56498,"0hard/-91soft"
56602,"0hard/-91soft"
56751,"0hard/-91soft"
56913,"0hard/-91soft"
57032,"0hard/-91soft"
57240,"0hard/-91soft"
57405,"0hard/-91soft"
57505,"-1hard/-63soft"
57611,"-1hard/-63soft"
57797,"-1hard/-63soft"
57897,"0hard/-91soft"
58080,"0hard/-91soft"
58183,"0hard/-91soft"
58380,"0hard/-91soft"
58542,"0hard/-90soft"
58637,"0hard/-91soft"
58804,"0hard/-91soft"
59024,"-1hard/-88soft"
59123,"0hard/-91soft"
59195,"0hard/-90soft"
59295,"0hard/-90soft"
59395,"0hard/-90soft"
59592,"0hard/-90soft"
59692,"0hard/-90soft"
59852,"0hard/-90soft"
60000,"0hard/-91soft"
