"timeMillisSpent","constraintPackage","constraintName","constraintMatchCount","scoreTotal"
39655,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
39655,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
39655,"org.acme.schooltimetabling.domain","Room stability violated","17","0hard/-17soft"
39655,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
39655,"org.acme.schooltimetabling.domain","Room capacity exceeded","6","0hard/-6soft"
39655,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
39655,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
50877,"org.acme.schooltimetabling.domain","Room occupancy conflict","0","0hard/0soft"
50877,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
50877,"org.acme.schooltimetabling.domain","Room stability violated","5","0hard/-5soft"
50877,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
50877,"org.acme.schooltimetabling.domain","Room capacity exceeded","6","0hard/-6soft"
50877,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
50877,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
